cleaned_text	lemm_text
-Лево - один.	левый один
Право - три.	право три
Трамплин.	трамплин
Право - три.	право три
Лево - один.	левый один
Прямик - двести.	прямик двести
Прямик - пятьсот.	прямик пятьсот
-Есть.	есть
-В горку - десять.	в горка десять
Хорош. Пошёл, пошёл, пошёл.	хороший пойти пойти пойти
-13:27. Минус 6. Вообще огонь.	1327 минус 6 вообще огонь
-Не, я на последнем вираже перед трамплином теряю больше секунды,	не последний вираж трамплин терять секунда
я не успеваю разогнаться.	успевать разогнаться
-100 на трамплине - это предел. Кир, ну сколько раз уже проверяли.	100 трамплин это предел кира сколько проверять
ТЕЛЕФОННЫЙ ЗВОНОК -Да, Верочка. Привет.	телефонный звонок да верочка привет
Да, всё отлично. Мы откатали. Сейчас уже домой едем.	да весь отлично мы откатать сейчас домой ехать
Да, я помню про базар.	да помнить базар
Слушай, давай собирайся, иди к Валентине. А мы через час подъедем.	слушай давать собираться идти валентина а час подъехать
Всё, давай, целую.	весь давать целовать
-Надо резать угол на последнем вираже.	надо резать угол последний вираж
-Да резали уже, Кир. Ну ладно, мы и так их всех порвём.	да резать уже кира ну ладный порвать
Поехали, благоверные ждут.	поехать благоверный ждать
-Нет, давай последний раз пройдём этот этап. Я срезаю угол перед	нет давать последний пройти этап я срезать угол
трамплином и прохожу на 110. -Кир, ещё на базар надо заехать.	трамплин проходить 110 кира ещё базар заехать
-Ну давай-давай, а? -Ну давай.	ну давайдавать а ну давать
-Сейчас мы это сделаем быстренько.	сейчас это сделать быстренько
-Звучит потрясающе.	звучать потрясающе
Спасибо. До вечера.	спасибо до вечер
-Не понял. А это что сейчас было?	не понять а это быть
-Ты о чём?	ты что
-Куда это ты вечером собралась?	куда это вечером собраться
-Откуда такой напор? Может, я по работе.	откуда напор мочь работа
-Да? Только тон у тебя был какой-то не рабочий. Да, и вечерами по работе	да только тон какойтый рабочий да вечер работа
не встречаются. -А ты всё знаешь.	встречаться а весь знаешь
Ну, просто кое-кто меня кое-куда пригласил.	ну просто коекто коекуда пригласить
-Что, простите? Кое-кто? Кое-куда?	что простить коекто коекуда
Кое-кто - это кто? Кое-куда - это куда?	коекто это кто коекуда это куда
-Саш, один постоянный гость. У него своя галерея.	саша постоянный гость у свой галерея
Там и современное искусство, и всякие древности.	там современный искусство всякий древность
-То есть я правильно понимаю? Пришёл какой-то мужик в ресторан	то правильно понимать прийти какойтый мужик ресторан
и пригласил тебя на вечеринку, да? -Как-то ты бурно реагируешь.	пригласить вечеринка да както бурно реагировать
-Так, сидеть! Сидеть! Давай разбираться.	так сидеть сидеть давать разбираться
Древнее искусство - это, конечно, прекрасно. Но по факту тебя	древний искусство это конечно прекрасно но факт
пригласили на свидание. Либо мы идём вместе, либо ты сидишь дома	пригласить свидание либо идти вместе либо сидеть дом
и варишь борщ! Ибо это непристойное предложение, ясно?	варить борщ ибо это непристойный предложение ясно
-Очень непристойное. Именно поэтому я ему сказала, что мы придем вдвоём.	очень непристойный именно поэтому сказать прийти вдвоём
Так что до вечера, Отелло. Посуду за собой не забудь помыть.	так вечер отелло посуда себя забыть помыть
-В смысле - до вечера... Может, я занят.	в смысл вечер мочь занятый
-Пожалуйста. -Спасибо.	пожалуйста спасибо
-Всего доброго. До свидания.	всего добрый до свидание
-Ой, Вера, как я устала от этой беготни. Я уж забыла, что такое	ой вера устать беготня я забыть такой
настоящий отдых. Прекрасная погода, дети в лагере, все нормальные люди	настоящий отдых прекрасный погода ребёнок лагер нормальный человек
на даче отдыхают. -Или на море.	дача отдыхать или мор
-Ой, ты себе представить не можешь, сколько я Кирилла уговаривала	ой представить мочь сколько кирилл уговаривать
в отпуск поехать. Ему ведь нужно после такой травмы, как у него,	отпуск поехать он нужно травма он
минимум полгода реабилитации. -Не, я с Костика слово взяла,	минимум полгода реабилитация не костик слово взять
что как только закончится ралли, мы поедем в Сочи.	закончиться ралли поехать сочи
Я даже билеты купила.	я билет купить
-А мы несколько лет к маме съездить не можем. Месяц назад снял корсет,	а несколько год мама съездить мочь месяц назад снять корсет
мужику 35 лет, взрослые дети! -Валь, не заводись.	мужик 35 год взрослый ребёнок валя заводиться
Я разговаривала с Костей. Они тренировку закончили и скоро приедут.	я разговаривать кость они тренировка закончить скоро приехать
-Хорош-хорош-хорош. Пошёл-пошёл. -Есть-есть!	хорошхорошхорош пошёлпойти естьбыть
-Лево - три. -Лево - три.	левый три левый три
-Сбрасывай. -Сбрасываю.	сбрасывать сбрасывать
-Давай-давай-давай!	давайдавайдавать
-Стой-стой!	стойстоять
Кира, поворачивай! Поворачивай!	кира поворачивать поворачивать
-Я не удержусь!	я удержаться
-А может, тебе йогой заняться? Дыхание, оно управляет сознанием.	а мочь ты йога заняться дыхание оно управлять сознание
Это очень сильная вещь. У меня есть как раз подруга, она ведёт группу.	это очень сильный вещь у подруга вести группа
Давайте я вас познакомлю? -Я подумаю.	давать познакомить я подумать
Вне зоны действия сети. Ну ясно, отключил телефон.	вне зона действие сеть ну ясно отключить телефон
-Подожди, давай я позвоню. Костя обычно не отключает.	подождать давать позвонить костя обычно отключать
Номер недоступен.	номер недоступный
-Странно это всё.	странно это весь
-Кир. Кир! Кира!	кира кира кира
Фу, слава богу! Ты в норме?	фу слава бог ты норма
-Вроде как.	вроде как
-Я не понял, ты чего не тормозил-то? -Да тормозил я.	я понять тормозилтый да тормозить я
По-моему... по-моему, тормоза сдохли.	помоему помоему тормоз сдохнуть
-Не может быть, я проверял. -Хреново ты проверял.	не быть проверять хреновый проверять
-Не открывается.	не открываться
ТРЕВОЖНАЯ МУЗЫКА	тревожный музыка
Сейчас.	сейчас
Кажется, мы попали.	кажется попасть
Сигнала нет.	сигнал нет
-Отлично...	отлично
-Товарищ капитан, объясните мне по-человечески.	товарищ капитан объяснить почеловечески
Вы окончательно меня запутали.	вы окончательно запутать
-Здравствуйте, у нас такая ситуация. -В порядке очереди.	здравствовать такой ситуация в порядок очередь
Кот не является личным имуществом, значит, он находится в совместном	кот являться личный имущество значит находиться совместный
владении. И Носов по закону может им пользоваться.	владение и носов закон пользоваться
-Пользоваться котом? -Да.	пользоваться кот да
-Бред! Это лично мой кот. Родословная на меня оформлена.	бред это лично кот родословный оформить
-Родословная не закрепляет права владения. Но есть вариант.	родословный закреплять право владение но вариант
Вы можете подать иск на раздел имущества. Кот, как неделимый объект,	вы мочь подать иск раздел имущество кот неделимый объект
может быть оспорен, до суда на него будет наложен арест, и если Носов	оспорить суд наложить арест носов
снова похитит кота, мы схватим его за хобот.	снова похитить кот схватить хобот
-Товарищ капитан, когда вы говорите, мне кажется, вы бредите.	товарищ капитан говорить кажется бредить
Я буду жаловаться.	я быть жаловаться
-Что у вас случилось?	что случиться
-Наши мужья пропали. Они автогонщики, ехали с тренировки домой,	наш муж пропасть они автогонщик ехать тренировка домой
связь оборвалась, и мы уже час не можем до них дозвониться.	связь оборваться час мочь дозвониться
-Они могли попасть в аварию.	они мочь попасть авария
-Хорошо, что своевременно к нам обратились, сейчас каждая секунда	хорошо своевременно мы обратиться каждый секунда
дорога. Пишите заявление.	дорога писать заявление
ЗВОНОК В ДВЕРЬ	звонок в дверь
-Привет. -Привет.	привет привет
-А Лина дома? -Нет, она ушла.	а лина дом нет уйти
-Ясно. Слушай, может, ты меня выручишь? Я просто в кои-то веки	ясно слушай мочь выручить я просто коитый веко
решила мужу ужин приготовить. И пусть это звучит банально,	решить муж ужин приготовить и пусть это звучать банально
но у меня закончилась соль.	закончиться соль
-Сейчас.	сейчас
-Уютно у вас здесь. Может, чайку попьём?	уютный здесь мочь чайка попить
-Я тороплюсь.	я торопиться
-Тоска такая дома сидеть, пока муж на работе.	тоска такой дом сидеть пока муж работа
Да и в городе незнакомом делать нечего.	да город незнакомый делать нечего
Вот хорошо, что у меня появились такие замечательные соседи.	вот хорошо появиться такой замечательный сосед
Чего напряжённый такой? Расслабься, вроде все свои.	что напрячь такой расслабиться вроде свой
-Соль ещё нужна? -Да.	соль ещё нужный да
Спасибо.	спасибо
Спасибо. Спасибо.	спасибо спасибо
Буду должна. -Пока.	быть должный пока
-Мужу моему пламенный привет передавай.	муж мой пламенный привет передавать
Пока. -Пока.	пока пока
-Значит, по скорой никто не поступал? Нет, в морг мы уже звонили.	значит скора никто поступать нет морг звонить
Хорошо.	хорошо
Ну, вы сами всё слышали: пока никакой информации ни из ГИБДД,	ну сам весь слышать пока никакой информация гибдд
ни от медиков. -Ну и что теперь делать?	медик ну делать
-Всё, что нужно, мы уже сделали.	весь нужно сделать
-То есть вы предлагаете нам просто сидеть и ждать? А хоть кто-нибудь	то предлагать мы просто сидеть ждать а ктонибыть
занимается розыском?	заниматься розыск
-Наша задача на данном этапе - оповестить экстренные службы.	наш задача дать этап оповестить экстренный служба
Непосредственно поиском занимается подразделение МЧС. Вот их номер,	непосредственно поиск заниматься подразделение мчс вот номер
сами звоните. Они мужики мировые, помогут.	сам звонить они мужик мировой помочь
-Вы что, даже не сообщили им?	вы что сообщить имя
-Да мне нечего им сообщать. Мы даже не знаем, что за ЧП, ни места,	да нечего сообщать мы знать чп место
ни времени, ничего не известно.	время известно
-Ладно, поехали, я знаю, где находится их база.	ладный поехать знать находиться база
АВТОМОБИЛЬНЫЙ СИГНАЛ	автомобильный сигнал
-Зря аккумулятор сажаешь, не услышит никто, тут в радиусе	зря аккумулятор сажать услышать никто радиус
километра нет никого.	километр никто
Чёрт.	чёрт
-Уже без 15, сколько нам ещё ехать?	уже 15 сколько мы ещё ехать
-Да не переживай ты так. Без нас с тобой не начнут.	да переживать так без ты начать
Нечего было ноготь ломать, вот если бы не твой незапланированный маникюр,	нечего ноготь ломать твой незапланированный маникюр
мы бы успели вовремя. -В центре полно салонов красоты.	успеть вовремя в центр полно салон красота
Зачем было ломиться в пригород? -Да затем, что в центре пробки.	зачем ломиться пригород да затем центр пробка
Рома там, наверное, с ума уже сходит.	рома там наверное ум сходить
Слушай, я, похоже, телефон оставила в салоне.	слушай я похоже телефон оставить салон
-Ладно, потом заберём. На-ка, возьми мой.	ладный забрать нака взять мой
-Спасибо.	спасибо
Алло. Рома? Ты меня слышишь?	алло рома ты слышать
-Нина, ты? Алён?	нина ты алёна
Вообще ничего не понимаю! Что? Что у вас там происходит,	вообще понимать что что происходить
говори громче.	говорить громкий
Милая, перезвони, когда будет тихо.	милый перезвонить тихо
Не надо было разделяться. Опоздали бы, так все вместе.	не разделяться опоздать бы вместе
-Всё нормально, дружище, ещё никто никуда не опоздал.	весь нормальный дружище ещё никто никуда опоздать
-Ты, Витёк, вечно спокоен, как удав. Мне бы твоё спокойствие.	ты витечь вечно спокойный удав я твой спокойствие
-Дружище, тебе ничего не жалко.	дружище ты жалко
