cleaned_text	lemm_text
Если бы вы участвовали в конкурсе фокусников. Вы бы точно его выиграли.	если участвовать конкурс фокусник вы точно выиграть
Винтовка с оптическим прицелом. И лазерным лучом.	винтовка оптический прицел и лазерный луч
Используется в тюрьмах строго режима. Против буйных заключенных.	использоваться тюрьма строго режим против буйный заключённый
Оружие устрашения. Понимаете?	оружие устрашение понимать
В тюрьме не так много развлечений.	в тюрьма развлечение
Эй, Фредо.	эй фредо
Мсье Дюпре.	мсьё дюпра
Я мсье, Абдель Фарад.	я мсьё абдель фарада
У меня что-то не так с галстуком?	у чтоть галстук
Спортивная модель? У меня был такой, каждые полчаса светился.	спортивный модель у такой каждый полчаса светиться
В Иране они очень модны.	в иран очень модный
Следуйте за мной.	следовать я
Сэр, просветите его на рентгене.	сэр просветить рентген
Вы будете разочарованы. Говорю сейчас, чтобы потом вы не сердились.	вы быть разочаровать говорить сейчас сердиться
О, это похоронный марш.	о это похоронный марш
Жутко противная. Правда, под эту музыку лучше хоронить убитых маршалов, чем президентов.	жутко противный правда музыка хоронить убитый маршал президент
Продолжайте играть.	продолжать играть
Позвольте, я послушаю.	позволить послушать
Спасибо.	спасибо
Меня зовут Камаль. Я атташе посольства.	я звать камаль я атташе посольство
ко мне обращаются ваше преосвященство.	к обращаться ваш преосвященство
Позвольте, я буду звать вас маэстро.	позволить быть звать маэстро
Хочу, вам сказать, чтобы вы заплатили за чемоданчик. Иначе ничего не выйдет.	хотеть сказать заплатить чемоданчик иначе выйти
-Сколько вам предложили? -Двойную цену.	сколько предложить двойной цена
Рас вы намерены продавать, так продавайте.	раса намерить продавать продавать
Объясните мне о чем речь и я сыграю вам со связанными руками.	объяснить речь сыграть связанный рука
-Это не игра, мсье Дюпре? -Нет не игра.	это игра мсьё дюпра нет игра
Зачем вы это сделали?	зачем это сделать
Добрый вечер Фарад.	добрый вечер фарада
Добрый вечер Камаль. У нас уже три покойника.	добрый вечер камаль у покойник
На сегодня хватит.	на сегодня хватить
Да пора отдохнуть. Утро вечера мудренее.	да пора отдохнуть утро вечер мудрёный
Я вам советую отпустить мсье Дюпре.	я советовать отпустить мсьё дюпра
Ладно, отпустите этого дурака.	ладный отпустить дурак
Смешно.	смешно
Смешно потому, что тайна этого темного дела становится все загадочнее.	смешно потому тайна тёмный дело становиться загадочный
Хотя, туман все больше и больше рассеивается.	хотя туман рассеиваться
Господа, приятно было заниматься с вами музыкой.	господин приятно заниматься вы музыка
Скажи честно Жозеф, кто он такой?	сказать честно жозефа такой
Шут гороховый.	шут гороховый
Стоять.	стоять
Только вас тут и не хватало.	только хватать
